group,rank,team,slug,club,club_slug,region,team_depth,team_depth_label,cpi,movement,games_tracked,latest_tournament,latest_record,ranking_flags,manual_review_note,issue_types,recommended_action,same_group_possible_duplicate_matches,same_club_other_teams_in_group,quiksilver_old_rank,quiksilver_new_rank,quiksilver_weight,logo,team_page,club_page,manual_decision,approved_canonical_team,approved_canonical_club,notes
18U Boys,34,Route 66,route-66-18u-boys,Route 66,route-66,Inland Empire,1,primary/A-level,1496.5,-3,6,Futures Super Finals,2-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/route-66.webp,team.html?team=route-66-18u-boys,club.html?club=route-66,,,,
18U Boys,35,Olympus,olympus-18u-boys,Olympus,olympus,Out of State,1,primary/A-level,1478.5,0,15,Quiksilver Cup,11 of 16,quiksilver_cup_2026_new_club_candidate|quiksilver_cup_2026_provisional_entry|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,missing_logo_file|provisional_or_identity_review|quiksilver_evidence_review,Fix logo path or add canonical logo file. Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/olympus.webp,team.html?team=olympus-18u-boys,club.html?club=olympus,,,,
18U Boys,36,American River,american-river-18u-boys,American River,american-river,Sacramento,1,primary/A-level,1463.1,-4,5,Futures Super Finals,1-4,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/american-river.webp,team.html?team=american-river-18u-boys,club.html?club=american-river,,,,
18U Boys,37,La Jolla United B,la-jolla-united-b-18u-boys,La Jolla United,la-jolla-united,San Diego,2,secondary/B-level,1462.3,-4,8,Quiksilver Cup,Final placement pending source score,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/la-jolla-united.webp,team.html?team=la-jolla-united-b-18u-boys,club.html?club=la-jolla-united,,,,
18U Boys,38,Foothill,foothill-18u-boys,Foothill,foothill,Orange County,1,primary/A-level,1430.8,0,14,Quiksilver Cup,13 of 16,quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,provisional_or_identity_review|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/foothill.webp,team.html?team=foothill-18u-boys,club.html?club=foothill,,,,
18U Boys,39,Alameda WPC,alameda-wpc-18u-boys,Alameda,alameda,East Bay,1,primary/A-level,1360.0,0,5,Quiksilver Cup,15 of 16,quiksilver_cup_2026_new_team_candidate|club_identity_review|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,provisional_or_identity_review|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/alameda.webp,team.html?team=alameda-wpc-18u-boys,club.html?club=alameda,,,,
18U Boys,40,San Jose Express,san-jose-express-18u-boys,San Jose Express,sj-express,Peninsula / San Francisco,1,primary/A-level,1360.0,-6,5,Futures Super Finals,1-4,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/sj-express.webp,team.html?team=san-jose-express-18u-boys,club.html?club=sj-express,,,,
18U Boys,41,Vanguard Silver,vanguard-silver-18u-boys,Vanguard,vanguard,Orange County,3,tertiary/C-level,1360.0,-6,5,SOPAC JO Quals,2-3,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,Vanguard Blue #17 (vanguard-blue-18u-boys),Vanguard Blue #17 depth=2,,,,assets/logos/canonical/vanguard.webp,team.html?team=vanguard-silver-18u-boys,club.html?club=vanguard,,,,
18U Boys,42,SFV,sfv-18u-boys,SFV,sfv,Los Angeles,1,primary/A-level,1360.0,-6,6,CCA JO Quals,0-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/sfv.webp,team.html?team=sfv-18u-boys,club.html?club=sfv,,,,
18U Boys,43,CHAWP,chawp-18u-boys,CHAWP,chawp,Inland Empire,1,primary/A-level,1360.0,-6,11,SOPAC JO Quals,1-4,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CHAWP B #26 (chawp-b-18u-boys),CHAWP B #26 depth=2,,,,assets/logos/canonical/chawp.webp,team.html?team=chawp-18u-boys,club.html?club=chawp,,,,
18U Boys,44,Rose Bowl,rose-bowl-18u-boys,Rose Bowl,rose-bowl,Los Angeles,1,primary/A-level,1360.0,-6,8,Futures Super Finals,1-3,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/rose-bowl.webp,team.html?team=rose-bowl-18u-boys,club.html?club=rose-bowl,,,,
18U Boys,45,Yeti,yeti-18u-boys,Yeti,yeti,Los Angeles,1,primary/A-level,1360.0,-6,5,SOPAC JO Quals,0-5,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/yeti.webp,team.html?team=yeti-18u-boys,club.html?club=yeti,,,,
18U Girls,1,Newport Beach,newport-beach-18u-girls,Newport Beach,newport-beach,Orange County,1,primary/A-level,2150.0,0,10,US Club Championships,4-0,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/newport-beach.webp,team.html?team=newport-beach-18u-girls,club.html?club=newport-beach,,,,
18U Girls,2,SBWPC A,sbwpc-a-18u-girls,SBWPC,sbwpc,Central Coast,1,primary/A-level,2040.1,0,10,US Club Championships,3-0,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SBWPC B #17 (sbwpc-b-18u-girls); SBWPC C #32 (sbwpc-c-18u-girls),SBWPC B #17 depth=2; SBWPC C #32 depth=3,,,,assets/logos/canonical/sbwpc.webp,team.html?team=sbwpc-a-18u-girls,club.html?club=sbwpc,,,,
18U Girls,3,Regency,regency-18u-girls,Regency,regency,Orange County,1,primary/A-level,2031.7,0,10,US Club Championships,3-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/regency.webp,team.html?team=regency-18u-girls,club.html?club=regency,,,,
18U Girls,4,SoCal,socal-18u-girls,SoCal,socal,Orange County,1,primary/A-level,2000.7,0,8,US Club Championships,3-0,,,possible_duplicate_team_name|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,SoCal Gold #23 (socal-gold-18u-girls),SoCal Gold #23 depth=2,,,,assets/logos/canonical/socal.webp,team.html?team=socal-18u-girls,club.html?club=socal,,,,
18U Girls,5,Lamorinda A,lamorinda-a-18u-girls,Lamorinda,lamorinda,East Bay,1,primary/A-level,1933.0,0,5,US Club Championships,4-0,manual_review_low_game_count,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/lamorinda.webp,team.html?team=lamorinda-a-18u-girls,club.html?club=lamorinda,,,,
18U Girls,6,CDM,cdm-18u-girls,CDM,cdm,Orange County,1,primary/A-level,1850.7,0,8,Futures Super Finals,4-1,,,no_automated_issue,No action from automated QA; manual audit still optional.,,,,,,assets/logos/canonical/cdm.webp,team.html?team=cdm-18u-girls,club.html?club=cdm,,,,
18U Girls,7,Mission,mission-18u-girls,Mission,mission,Orange County,1,primary/A-level,1825.0,2,10,Quiksilver Cup,4 of 12,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/mission.webp,team.html?team=mission-18u-girls,club.html?club=mission,,,,
18U Girls,8,Rose Bowl,rose-bowl-18u-girls,Rose Bowl,rose-bowl,Los Angeles,1,primary/A-level,1823.7,-1,7,US Club Championships,1-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/rose-bowl.webp,team.html?team=rose-bowl-18u-girls,club.html?club=rose-bowl,,,,
18U Girls,9,LB Viking Blue,lb-viking-blue-18u-girls,Viking,viking,Los Angeles,2,secondary/B-level,1788.3,6,5,Quiksilver Cup,1 of 12,manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,LB Viking White #30 (lb-viking-white-18u-girls),LB Viking White #30 depth=3,,,,assets/logos/canonical/viking.webp,team.html?team=lb-viking-blue-18u-girls,club.html?club=viking,,,,
18U Girls,10,Foothill,foothill-18u-girls,Foothill,foothill,Orange County,1,primary/A-level,1782.9,-2,9,Quiksilver Cup,9 of 12,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/foothill.webp,team.html?team=foothill-18u-girls,club.html?club=foothill,,,,
18U Girls,11,Legacy,legacy-18u-girls,Legacy,legacy,Central Coast,1,primary/A-level,1738.1,-1,6,Quiksilver Cup,7 of 12,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/legacy.webp,team.html?team=legacy-18u-girls,club.html?club=legacy,,,,
18U Girls,12,Stanford A,stanford-a-18u-girls,Stanford,stanford,Peninsula / San Francisco,1,primary/A-level,1728.1,-1,7,US Club Championships,2-2,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/stanford.webp,team.html?team=stanford-a-18u-girls,club.html?club=stanford,,,,
18U Girls,13,Santa Cruz,santa-cruz-18u-girls,Santa Cruz,santa-cruz,Central Coast,1,primary/A-level,1728.0,-1,5,Futures Super Finals,3-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/santa-cruz.webp,team.html?team=santa-cruz-18u-girls,club.html?club=santa-cruz,,,,
18U Girls,14,Palos Verdes,palos-verdes-18u-girls,Palos Verdes,palos-verdes,Los Angeles,1,primary/A-level,1716.1,-1,5,CCA JO Quals,3-2,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/palos-verdes.webp,team.html?team=palos-verdes-18u-girls,club.html?club=palos-verdes,,,,
18U Girls,15,680,680-18u-girls,680,680,East Bay,1,primary/A-level,1716.1,0,5,Quiksilver Cup,2 of 12,quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_runner_up|medium_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,provisional_or_identity_review|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/680.webp,team.html?team=680-18u-girls,club.html?club=680,,,,
18U Girls,16,San Diego Shores,san-diego-shores-18u-girls,San Diego Shores,san-diego-shores,San Diego,1,primary/A-level,1710.9,0,15,Quiksilver Cup,3 of 12,quiksilver_cup_2026_new_team_candidate|medium_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,provisional_or_identity_review|quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable. Resolve before post-JO recalibration if possible.,,,,,,assets/logos/canonical/san-diego-shores.webp,team.html?team=san-diego-shores-18u-girls,club.html?club=san-diego-shores,,,,
18U Girls,17,SBWPC B,sbwpc-b-18u-girls,SBWPC,sbwpc,Central Coast,2,secondary/B-level,1706.8,-3,12,US Club Championships,3-1,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,SBWPC A #2 (sbwpc-a-18u-girls); SBWPC C #32 (sbwpc-c-18u-girls),SBWPC A #2 depth=1; SBWPC C #32 depth=3,,,,assets/logos/canonical/sbwpc.webp,team.html?team=sbwpc-b-18u-girls,club.html?club=sbwpc,,,,
18U Girls,18,Tsunami,tsunami-18u-girls,Rancho Tsunami,rancho-tsunami,Inland Empire,1,primary/A-level,1677.9,0,10,Quiksilver Cup,6 of 12,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,quiksilver_evidence_review,Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/rancho-tsunami.webp,team.html?team=tsunami-18u-girls,club.html?club=rancho-tsunami,,,,
18U Girls,19,Seaside,seaside-18u-girls,Seaside,seaside,Central Coast,1,primary/A-level,1661.3,0,7,Quiksilver Cup,8 of 12,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,official_logo_needed|quiksilver_evidence_review,Collect official logo screenshot/source when available. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,,,,,,assets/logos/canonical/seaside.webp,team.html?team=seaside-18u-girls,club.html?club=seaside,,,,
18U Girls,20,CHAWP B,chawp-b-18u-girls,CHAWP,chawp,Inland Empire,2,secondary/B-level,1654.7,-4,9,US Club Championships,2-2,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,,lower_depth_above_primary_same_club|possible_duplicate_team_name|quiksilver_evidence_review|same_club_multiple_teams_in_group,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Confirm whether this lower-depth team should rank above the club primary team. Confirm Quiksilver alias/team identity and lightweight movement is acceptable.,CHAWP #31 (chawp-18u-girls),CHAWP #31 depth=1,,,,assets/logos/canonical/chawp.webp,team.html?team=chawp-b-18u-girls,club.html?club=chawp,,,,
